m1,m2,m3,m4,m5,m6,count,time
180.576,71.192,277.816,211.464,195.624,129.184,1,0.003717472119
180.576,71.28,277.816,211.464,195.272,129.184,2,0.007434944238
180.664,71.28,277.816,211.64,194.832,129.184,3,0.01115241636
180.664,71.28,277.816,211.816,194.48,129.184,4,0.01486988848
180.576,71.28,277.816,211.904,194.04,129.184,5,0.01858736059
180.664,71.28,277.816,212.08,193.688,129.184,6,0.02230483271
180.576,71.28,277.816,212.256,193.336,129.184,7,0.02602230483
180.576,71.28,277.816,212.432,192.984,129.184,8,0.02973977695
180.576,71.28,277.816,212.52,192.72,129.184,9,0.03345724907
180.576,71.28,277.816,212.696,192.456,129.184,10,0.03717472119
180.576,71.28,277.816,212.696,192.104,129.184,11,0.04089219331
180.664,71.28,277.816,212.696,191.752,129.184,12,0.04460966543
180.576,71.28,277.816,212.696,191.488,129.184,13,0.04832713755
180.576,71.192,277.816,212.696,191.136,129.184,14,0.05204460967
180.664,71.28,277.816,212.52,190.784,129.184,15,0.05576208178
180.576,71.28,277.816,212.432,190.432,129.184,16,0.0594795539
180.576,71.28,277.816,212.256,190.08,129.184,17,0.06319702602
180.576,71.28,277.816,212.08,189.728,129.184,18,0.06691449814
180.576,71.28,277.816,211.816,189.376,129.184,19,0.07063197026
180.576,71.28,277.816,211.464,189.112,129.184,20,0.07434944238
180.664,71.28,277.816,211.024,188.848,129.184,21,0.0780669145
180.576,71.28,277.816,210.584,188.496,129.184,22,0.08178438662
180.576,71.28,277.816,210.144,188.32,129.184,23,0.08550185874
180.664,71.28,277.816,209.616,188.144,129.184,24,0.08921933086
180.576,71.28,277.816,209.088,187.968,129.184,25,0.09293680297
180.664,71.28,277.816,208.648,187.792,129.184,26,0.09665427509
180.576,71.28,277.816,208.12,187.616,129.184,27,0.1003717472
180.576,71.192,277.816,207.504,187.528,129.184,28,0.1040892193
180.576,71.28,277.816,206.976,187.44,129.184,29,0.1078066914
180.576,71.28,277.816,206.536,187.264,129.184,30,0.1115241636
180.576,71.28,277.816,206.096,187.176,129.184,31,0.1152416357
180.576,71.28,277.816,205.832,187.176,129.184,32,0.1189591078
180.576,71.28,277.816,205.568,187.088,129.184,33,0.1226765799
180.576,71.28,277.816,205.304,187.088,129.184,34,0.126394052
180.576,71.28,277.816,205.128,187.088,129.184,35,0.1301115242
180.576,71.192,277.816,204.952,187.088,129.184,36,0.1338289963
180.576,71.28,277.816,204.864,187.088,129.184,37,0.1375464684
180.576,71.28,277.816,204.688,187.088,129.184,38,0.1412639405
180.664,71.28,277.816,204.424,187.088,129.184,39,0.1449814126
180.576,71.28,277.816,204.336,187,129.184,40,0.1486988848
180.576,71.28,277.816,204.16,187,129.184,41,0.1524163569
180.576,71.28,277.816,203.984,187,129.184,42,0.156133829
180.576,71.28,277.816,203.632,187,129.184,43,0.1598513011
180.576,71.28,277.816,203.28,187,129.184,44,0.1635687732
180.576,71.28,277.816,202.84,187,129.184,45,0.1672862454
180.576,71.28,277.728,202.224,187,129.184,46,0.1710037175
180.576,71.192,277.816,201.432,186.912,129.184,47,0.1747211896
180.576,71.28,277.728,200.64,187,129.184,48,0.1784386617
180.664,71.28,277.728,199.672,187,129.184,49,0.1821561338
